 _   _                           _        _     _     _   
nmap-common/kali-rolling 7.95+dfsg-3kali1 all [upgradable from: 7.95+dfsg-1kali1]
nmap/kali-rolling 7.95+dfsg-3kali1 amd64 [upgradable from: 7.95+dfsg-1kali1]
node-agent-base/kali-rolling 7.1.1~0~2024040606-6 all [upgradable from: 7.1.1~0~2024040606-5]
node-data-uri-to-buffer/kali-rolling 6.0.2~0~2024040606-6 all [upgradable from: 6.0.2~0~2024040606-5]
node-http-proxy-agent/kali-rolling 7.0.2~0~2024040606-6 all [upgradable from: 7.0.2~0~2024040606-5]
node-https-proxy-agent/kali-rolling 7.0.4~0~2024040606-6 all [upgradable from: 7.0.4~0~2024040606-5]
node-re2/kali-rolling 1.21.4+~cs2.13.13-2+b2 amd64 [upgradable from: 1.21.4+~cs2.13.13-2+b1]
nodejs-doc/kali-rolling 20.19.0+dfsg1-1 all [upgradable from: 20.19.0+dfsg-2]
nodejs/kali-rolling 20.19.0+dfsg1-1 amd64 [upgradable from: 20.19.0+dfsg-2]
offsec-awae-python2/kali-rolling 2025.2.0 amd64 [upgradable from: 2025.1.1]
open-vm-tools-desktop/kali-rolling 2:12.5.0-2 amd64 [upgradable from: 2:12.5.0-1+b2]
open-vm-tools/kali-rolling 2:12.5.0-2 amd64 [upgradable from: 2:12.5.0-1+b2]
openjdk-21-jre-headless/kali-rolling 21.0.7+6-1 amd64 [upgradable from: 21.0.7~8ea-1]
openjdk-21-jre/kali-rolling 21.0.7+6-1 amd64 [upgradable from: 21.0.7~8ea-1]
openssh-client-gssapi/kali-rolling 1:10.0p1-5 all [upgradable from: 1:9.9p2-2]
openssh-client/kali-rolling 1:10.0p1-5 amd64 [upgradable from: 1:9.9p2-2]
openssh-server/kali-rolling 1:10.0p1-5 amd64 [upgradable from: 1:9.9p2-2]
openssh-sftp-server/kali-rolling 1:10.0p1-5 amd64 [upgradable from: 1:9.9p2-2]
openvas-scanner/kali-rolling 23.19.0-0kali1 amd64 [upgradable from: 23.17.0-1+b1]
orca/kali-rolling 48.1-1 all [upgradable from: 48.0-3]
ospd-openvas/kali-rolling 22.9.0-0kali1 all [upgradable from: 22.8.2-1]
packagekit-tools/kali-rolling 1.3.1-1 amd64 [upgradable from: 1.3.0-3+b1]
packagekit/kali-rolling 1.3.1-1 amd64 [upgradable from: 1.3.0-3+b1]
peass/kali-rolling 20250501.c34edb3c-0kali1 all [upgradable from: 20250401.a1b119bc-0kali1]
pgcli/kali-rolling 4.3.0-2 all [upgradable from: 4.3.0-1]
plymouth-label/kali-rolling 24.004.60-4 amd64 [upgradable from: 24.004.60-2+b2]
plymouth/kali-rolling 24.004.60-4 amd64 [upgradable from: 24.004.60-2+b2]
postgresql-17/kali-rolling 17.5-1 amd64 [upgradable from: 17.4-2]
postgresql-client-17/kali-rolling 17.5-1 amd64 [upgradable from: 17.4-2]
powershell/kali-rolling 7.5.1-1.deb amd64 [upgradable from: 7.2.6-1.deb]
python-matplotlib-data/kali-rolling 3.10.1+dfsg1-3 all [upgradable from: 3.10.1+dfsg1-2]
